"Risky_Area","gender","advantage_risky_area"
"Risky","Female","kelahiran dan penghasilan ekonomi jg ada tanahnya jg subur"
"Risky","Female","kelahiran disini karna penghasilan di sini nggak sulit, ekonomi"
"Risky","Female","kelahiran  ada hasilnya tanaman salak  sumber air"
"Risky","Male","kelahiran saya senang  tanahnya subur"
"Risky","Male","subur"
"Risky","Male","tempat kelahiran"
"Risky","Male","tanah subur,perekonomian mapan"
"Risky","Male","tanah subur tidak pernah kekeringan air kelahiran"
"Risky","Male","cocok untuk pertanian tanahnya sangat subur, udaranya sejuk"
"Risky","Female","Mencari kebutuhan hidup sangat mudah,ekonomi, mudah mendapat air bersih"
"Risky","Male","dekat sumber ekonomi"
"Risky","Male","mata pencaharian sangat mudah,  dingin"
"Risky","Female","karna dingin"
"Risky","Male","tanah subur  udara dingin  dan sejuk"
"Risky","Female","karna perekonomiannya mudah dan udaranya sejuk"
"Risky","Female","karena udara sejuk pencaharian ekonomi mudah sejak orok sudah di besarkan disini, lahir"
"Risky","Female","perekonomian di daerah ini sangat mudah, kerukunan,akses kepasar deket dan tanah subur ."
"Risky","Male","Karena bisa bertani"
"Risky","Female","sejuk, subur"
"Risky","Male","tanah subur, lingkungan nyaman comfort, ekonomi mudah"
"Risky","Female","tanahnya subur"
"Risky","Female","sejuk  tanah subur  kelahiran"
"Risky","Female","tanah subur  ekonomi senang  kelahiran"
"Risky","Male","tanahnya subur"
"Risky","Female","cuaca dingin  air bagus  penghasilan bagus ekonomi"
"Risky","Male","tanah subur  Pertambangan, tambang"
"Risky","Male","kerja mudah, tanahnya subur, udaranya sejuk"
"Risky","Male","Pertanian bagus  udaranya sejuk"
"Risky","Female","nyaman comfort  sejuk  gampang cari kerja bebas polusi"
"Risky","Female","nyaman comfort sejuk gampang cari kerja bebas polusi."
"Risky","Female","mata pencaharian dari gunung sda lebih mudah dan lebih ramah lingkungan asri"
"Risky","Male","Bisa bertani karena tanah subur"
"Risky","Male","udaranya sejuk, tenang jauh dari keramaian,  mudah dalam mencari rezeki, tanah subur"
"Risky","Female","karena tanah di daerah gunung berapi sangat subur untuk bercocok tanam, ekonomi"
"Risky","Male","Dari lahir disini  Bisa bertani dan berternak"
"Risky","Male","tanah subur  Bisa bertani dan berternak"
"Risky","Male","tanahnya subur"
"Risky","Male","udara sejuk  ekonomi gampang sumber air jernih tanah subur"
"Risky","Male","tanah subur"
"Risky","Female","udaranya sejuk,dan tanahnya subur"
"Risky","Female","tanahnya subur"
"Risky","Female","tanahnya subur"
"Risky","Female","udaranya sejuk,dan tanahnya subur"
"Risky","Male","tanahnya subur"
"Risky","Male","tanahnya subur, bagus untuk pertanian, udaranya sejuk,"
"Risky","Female","udaranya sejuk,dan tanah subur"
"Risky","Male","udara dingin, tanah subur, pertanian bagus, tani"
"Risky","Female","tanahnya subur, sumber ekonomi mudah"
"Risky","Male","tambang pasir"
"Risky","Female","tanahnya subur"
"Risky","Female","tanahnya subur"
"Risky","Female","lahan subur dan udara sejuk"
"Risky","Female","sudah tidak ada tempat lagi untuk ditinggali, sumber mata pencaharian dari petani"
"Risky","Male","lahan yang subur, suana sejuk safe aman damai dan menyenangkan"
"Risky","Male","lahan subur,udara sejuk"
"Risky","Male","tanah subur, daerah sejuk"
"Safe","Male","lahannya lebih subur"
"Safe","Male","keuntungannya adalah sda atau kekayaan alam yang melimpah yaitu pasir,sumber air yg melimpah,udara yg sehat dan keindahan alam disekitar lereng gunung semeru, asri."
"Safe","Female","tanah yang subur dan kawasan nya yang sejuk.kawasan airnya sangat jernih..."
"Safe","Female","sejuk,tanah subur"
"Safe","Female","lahan persawahan dan perkebunan bisa menjadi subur serta material pasir dan batu gampang dicari"
"Safe","Female","tanah subur,udara sejuk"
"Safe","Female","tanah subur,airnya jernih"
"Safe","Female","tanah subur  air bersih  buah salak pisang"
"Safe","Female","keuntungannya adalah tanah subur, airnya jernih, udaranya nyaman comfort dan sejuk"
"Safe","Female","udaranya sejuk  tanahnya subur"
"Safe","Male","Untuk cuaca sejuk,daerah sekitaran subur."
"Safe","Female","tanahnya subur"
"Safe","Male","udara sejuk   tanah subur"
"Safe","Male","1. udaranya dingin  2. ada 2 musim ada panas dan hujan  3. tanah subur, dst"
"Safe","Male","tanah menjadi subur   banyak sumber mata air"
"Safe","Female","tanah subur, udara sejuk, masyarakatnya rukun suka bergotong royong"
"Safe","Male","tanahnya subur"
"Safe","Male","tanahnya subur paser banak"
"Safe","Male","mengalami ketenangan karna suana nyaman comfort dan sejuk air pun masih asli dari pegunungan"
"Safe","Male","tanah lebih subur  destinasi wisata"
"Risky","Male","pasir, batu"
"Risky","Male","karena sejak kecil rumahnya sudah menetap di daerah gunung berapi, lahir"
"Risky","Male","1.tanah menjadi subur  2.sda melimpah"
"Risky","Male","karena sagat sejuk"
"Risky","Female","sejuk safe aman damai"
"Risky","Female","daerahnya sejuk"
"Risky","Female","tanahnya subur dan dapat menghasilkan barang tambang (pasir dan batu)"
"Risky","Female","karena keluarga"
"Risky","Female","mulai dari dulu sudah tinggal daerah merapi, lahir"
"Risky","Female","tanaman tumbuh sangat subur   udara sejuk"
"Risky","Male","mudah mencari material pasir batu"
"Risky","Female","karena udaranya sangat sejuk dan segar dan bisa bercocok tanam"
"Risky","Male","bisa jadi gampang kerja"
"Risky","Male","mudah cari pasir batu"
"Risky","Male","tanah subur untuk bertani"
"Risky","Male","pertanian"
"Risky","Female","bercocok tanam tumbuh subur !"
"Risky","Female","tanahnya subur cocok utuk bercocok tanam"
"Risky","Female","karena nyaman comfort"
"Risky","Male","tanahnya subur udaranya segar"
"Safe","Male","tanah subur"
"Safe","Male","keuntungan tambang pasir"
"Safe","Female","udara, tenang"
"Safe","Male","1. dingin  2. kerja  enak sekali  3. kehidupanya dengan tenang dan nyaman comfort"
"Safe","Male","1 ekonomi bagus  2. sejuk  3. Mudah mencari kerja"
"Safe","Female","tanah subur,udara sejuk"
"Safe","Male","pasir"
"Safe","Male","tambang pasir"
"Safe","Male","udaranya sejuk dan segar"
"Safe","Female","keuntungan tambang pasir"
"Safe","Male","tidak ada"
"Safe","Female","bertani"
"Safe","Female","tanah subur,udara sejuk"
"Safe","Male","tenang"
"Safe","Male","tanah subur n sejuk"
"Safe","Female","1. Tidak ada tempat tinggal yang lain, choice  2. Mudah mencari kerja  3. dingin"
"Safe","Male","banyak manfaatnya"
"Safe","Female","dingin  tanahnya subur  airna bening"
"Safe","Female","tanahnya subur"
"Safe","Female","no other choice"
"Safe","Female","adem tinggal di daerah gunung, sejuk"
"Safe","Male","nyaman comfort"
"Safe","Female","kerja mudah, mencukupi kebutuhan sehari."
"Safe","Male","ekonomi mudah"
"Safe","Female","udaranya sejuk  perekonomian tercukupi"
"Safe","Male","tentram tidak ada keramaian dibanding dikota, nyaman comfort"
"Safe","Male","sejuk, living near by family, keluarga"
"Safe","Female","memang sudah kelahiran saya tidak mau kemana mana"
"Safe","Male","nyaman comfort  subur  dingin"
"Safe","Female","tempat kelahiran  dingin  nyaman comfort"
"Safe","Female","dingin, mudah mendapat kerja"
"Safe","Female","tanahnya subur, udaranya dingin, ekonominya mudah dicari"
"Safe","Male","no other choice, lahan kerja"
"Safe","Male","mudah mendapat kerja"
"Safe","Female","tanahnya subur, ekonomi mudah"
"Safe","Female","tanahnya subur"
"Safe","Male","penghasilan ekonomi mudah"
"Safe","Male","ekonomi lancar"
"Safe","Female","karena tanahnya subur untuk pertanian"
"Safe","Male","tempat lahir, no other choice"
"Safe","Male","dingin, ekonomi lancar"
"Safe","Male","kerja mudah, tempat lahir"
"Safe","Male","tanahnya subur,  airnya bagus  musimnya bagus"
"Safe","Male","karena cocok untuk bertani"
"Safe","Female","safe aman damai, gampang cari uang, ekonomi"
"Safe","Female","betah tinggal disini, sejuk ,makmur enak cari rezeki, tentram nyaman comfort"
"Safe","Female","ekonomi mudah"
"Safe","Female","ekonomi mudah, udara nyaman comfort"
"Safe","Female","ekonomi muda tanah subur"
"Safe","Female","tempat lahir, no other choice"
"Safe","Female","nyaman comfort"
"Safe","Female","sejuk dan safe aman"
"Safe","Male","cari ekonomi mudah tanaman subur ijo royo royo"
"Safe","Male","tanahnya subur"
"Safe","Female","subur  safe aman  damai"
"Safe","Male","cari ekonomi itu mudah"
"Safe","Male","tanahya subur"
"Safe","Male","ekonomi mudah, tanaman subur"
"Safe","Female","subur,nyaman comfort"
"Safe","Male","nyaman comfort  subur"
"Safe","Female","mudah mecnri kerja dan mudah berkebun"
"Safe","Female","mudah berkebun   dan mencari pasir"
"Safe","Female","untuk mencari uang itu sang mudah, ekonomi"
"Safe","Male","bertani lebih mudah di sini"
"Safe","Female","lahir disini, no other choice"
"Safe","Male","banyak pasir"
"Safe","Female","no other choice"
"Safe","Male","nyaman comfort, ekonomi mudah"
"Safe","Male","cari rezeki mudah"
"Safe","Female","lahir, no other choice"
"Safe","Female","kalau banjir ngalir pasir jadi bisa dapat uang karena mata pencaharian nya di sungai, ekonomi"
"Safe","Female","banyak rezeki, ekonomi hasil pangan melimpah"
"Safe","Female","dapat menghasilkan ekonomi yg ckup karna hsil pasir batu2annya krna kita mnjadi penambang, tambang"
"Safe","Male","mudah mencari rezeki"
"Safe","Female","mudah mencari rezeki"
"Safe","Male","ekonomi mudah"
"Safe","Female","ekonomi lancar"
"Safe","Male","ekonomi mudah"
"Safe","Female","ketika hujan dan terjadi banjir maka pasir melimpah dan bisa untuk mencari nafkah, ekonomi"
"Risky","Male","ekonomi mudah"
"Risky","Male","nyaman comfort  lahir di sini  air bersih"
"Risky","Female","ekonomi  mudah"
"Risky","Female","ekonomi mudah tanaman subur"
"Risky","Male","nyaman comfort karna sudah tempat kelahiran"
"Risky","Male","karena cocok untuk pertanian"
"Risky","Female","udaranya sejuk, tanahnya subur buat bertani dan bisa menghasilkan uang dari gunung semeru seperti pasir, ekonomi"
"Risky","Female","lahir, peninggalan orang tua parent disini"
"Risky","Male","tenang, mudah mencai nafkah, ekonomi"
"Risky","Female","tempat lahir, no other choice"
"Risky","Female","nyaman comfort,sejuk"
"Risky","Female","safe aman, sejuk, subur"
"Risky","Female","sejuk ekonomi  mudah"
"Risky","Male","udaranya segar"
"Risky","Male","untung besar"
"Risky","Male","air bersih  udara bersih  tenang  subur  sejuk"
"Risky","Male","tanahnya subur dan udaranya masih bersih"
"Risky","Female","udara sejuk, untuk mata pencaharian  penduduk lumayan meningkat"
"Risky","Female","ekonomi mudah tanaman subur"
"Risky","Male","subur  air bersih  gampang kerja ada"
"Safe","Female","udara sejuk, tanah subur dan sumber mata air bersih."
"Safe","Female","airnya baik, tanah subur, jarang kekeringan, perekonomian mudah"
"Safe","Male","suhunya lebih sejuk dibandingkan berada di daerah kota  sumber air yang mudah di daptkan, tanah perkebuanan yang sangat subur"
"Safe","Male","mudah untuk mencari ekonomi  ,tanah subur gemah ripah jinawe"
"Safe","Male","tanahnya subur"
"Safe","Female","lingkungan safe aman ,udara sejuk"
"Safe","Female","kita tidak kesulitan air,tanahnya subur ,lingkungannya asri dan alami."
"Safe","Female","tanaman subur  tidak kekurangan air  udara sejuk"
"Safe","Male","tanahnya lebih subur memudahkan bercocok tanam"
"Safe","Male","tanah nya subur udara nya segar"
"Safe","Male","sejuk, tanah subur, mendapatkan kerja yang sangat mudah"
"Safe","Male","safe aman, ekonomi mudah,"
"Safe","Male","tanah subur"
"Safe","Female","tanah subur udaranya sejuk air mudah"
"Safe","Female","bertani ,tambang pasir"
"Safe","Female","udara segar  tanah subur  air mudah"
"Safe","Female","cuaca dingin  tanah subur  air bersih"
"Safe","Female","tambang pasir"
"Safe","Male","air bersih, tanah subur, dekat dengan tempat kerja"
"Safe","Male","tanah subur, udara sejuk"
"Safe","Female","dapat menyuburkan tanaman, banyaknya hewan yang hidup di hutan,terhindar dari polusi terdapat lahan kosong"
"Safe","Female","1.memiliki air bersih  2.cuacanya sangat cocok, segar"
"Safe","Female","nyaman comfort,udara sejuk"
"Safe","Female","tanah subur air bersih udara masih segar"
"Safe","Female","udara sejuk, air bersih, bisa menanam sayuran dengan subur"
"Safe","Female","udara sejuk  airnya bersih  tanahnya subur  lingkungan bersih"
"Safe","Male","sangat cocok untuk bertanam"
"Safe","Female","udaranya sejuk air bersih, bisa menanam sayuran"
"Safe","Male","udara sejuk, ekonomi mudah,lingkungan nyaman comfort"
"Safe","Male","tanah subur"
"Safe","Male","tidak kekurangan air bersih, tanah subur, mudah bercocok tanam"
"Safe","Male","kerja mudah"
"Safe","Male","pertanian yg subur mata air yg jernih"
"Safe","Male","tanah subur"
"Safe","Male","ekonomi mudah, udara sejuk,lingkungan nyaman comfort"
"Safe","Female","airnya bersih, udara sejuk,tanah subur"
"Safe","Female","airnya bersih, tanahnya subur"
"Safe","Female","air bersih, tanah subur, udara sejuk."
"Safe","Female","air bersih, tanahnya subur"
"Safe","Female","lahan kerja, pertanian subur, cuaca enak dingin"
"Safe","Male","cuaca lebih sejuk,"
"Safe","Female","cuacanya dingin, airnya bersih"
"Safe","Male","udara sejuk, cuaca dingin, tidak terancam erupsi"
"Safe","Male","memudahkan kita untuk ekonomi pertanian"
"Safe","Male","udaranya segar, tanahnya subur"
"Safe","Male","Cocok untuk bertanam sayur, cuaca dingin"
"Safe","Female","kaya akan sda dan tanahnya subur (tanah vulkanik)"
"Safe","Female","cuacanya dingin  udaranya segar"
"Safe","Female","cuaca dingin  airnya bagus  udaranya bagus"
"Safe","Female","cuaca dingin  airnya dingin  tanahnya subur"
"Safe","Male","Bisa cocok tanam dan air bersi"
"Safe","Male","tempatnya sejuk. indah banyak kepanenan dan indah/rama lingkungan"
"Safe","Female","mencari pekerja an lbih muda,menanam sayuran bih muda"
"Safe","Male","tanahnya subur  cuaca tidak terlalu panas  tidak ada kekeringan"
"Safe","Male","cari pasir"
"Safe","Male","udara sejuk,ekonomi sedang"
"Safe","Female","udara sejuk"
"Safe","Female","daerah sejuk"
"Safe","Female","kita bisa mencari mata pencaharian dari pasir gunung berapi"
"Safe","Male","lahan kerja"
"Safe","Male","daerahnya subur udaranyasegar"
"Safe","Female","cari pasir, udara sejuk ,safe aman banjir"
"Safe","Male","subur"
"Safe","Female","hidup murah, sayur gak beli, ekonomi"
"Safe","Male","subur"
"Safe","Male","memmanfaatkan material gunung berapi cocok tanam semua jenis sayur mayur buah buahan sangat cocok, sda"
"Safe","Female","airnya bersih  enak  dingin  tanahnyas subur"
"Safe","Female","tambang pasir"
"Safe","Male","air bersih mudah,tanahnya subur,udara sejuk"
"Safe","Male","safe aman dari jangkauan letusan gunung merapi ..   udara nya sejuk...  tentram sejahtera... nyaman comfort"
"Safe","Female","tanah subur pertanian, sumber air bersih dan lancar"
"Safe","Female","karna cuaca suasana di desa lebih sejuk air juga lebih mudah dan jauh dari polusi k endaraan yang berlebihan,.beda dengan di kota.  keuntungan lainnya kebutuhan di desa lebih murah di bandingkan di perkotaan.."
"Safe","Male","udara sejuk,  bercocok tanam, ekonomi"
"Safe","Male","tanahnya subur, sejah tera"
"Safe","Male","tambang pasir"
"Safe","Female","tanah subur, udara sejuk, sumber air terjaga alaminya"
"Safe","Male","udaranya sejuk ,ladang pangan yang luas,ekonomi "
"Safe","Male","udaranya sejuk dan alami,tanahnya subur."
"Safe","Female","daerah yang sejuk,perairan yang lancar,ladang pangan yg luas, ekonomi"
"Safe","Female","cuacanya dingin, airnya baik,udaranya sejuk"
"Safe","Female","karena udara yg sejuk dan lingkungan yg sangat ramah"
"Safe","Female","tanah subur,udara sejuk , air berlimpah"
"Safe","Male","tanahnya subur,air melimpah tidak beli"
"Safe","Male","tanahnya subur, air melimpah"
"Safe","Male","dapat keuntungan dari pasir dan batu"
"Safe","Female","tanahnya subur"
"Safe","Female","tanah subur,udara sejuk,nyama"
"Safe","Female","1 lingkungan nyaman comfort  2.udara sejuk  3.mudah untuk bercocok  tanam"
"Safe","Male","banyak kekayaan sda dan makanan"
"Safe","Male","tanah lebih subur, air lebih jernih, jauh dari polusi"
"Safe","Female","air nya lancar"
"Safe","Female","airnya lancar"
"Safe","Female","tanah untuk pertaian subur,udara segar"
"Safe","Male","sejuk"
"Safe","Male","sejuk"
"Safe","Male","dingin"
"Safe","Male","segar"
"Safe","Female","banyaknya lahan pertanian,sepertin perkebunann kopi,suasananya sangat dingin dan sejuk airnya jernih dan disini tidak gampang tercemar sampah atau banjir"
"Safe","Female","air bagus  tanah subur"
"Safe","Female","udaranya sejuk, orangnya ramah"
"Safe","Female","tanahnya subur dapat dibuat bertani udaranya sejuk dan cocok untuk bertani"
"Safe","Female","memilliki daerah yang sanggat subur dan sejuk"
"Safe","Female","tanahnya subur, masyarkatnya rama, sumber mata air yang mudah"
"Safe","Female","tanahnya subur , air mudah"
"Safe","Female","dapat bertani,udara sejuk,ekonomi muda"
"Safe","Female","memiliki tanah yang subur, sehingga cocok untuk bercocok tanam"
"Safe","Female","udara sejuk  ekonomi mudah di dapat"
"Safe","Male","adem ayem"
"Safe","Male","keuntugan nya sangat bahagia bnget karna bisa menghirup udara segar ,dan bisa bertanam sayur"
"Safe","Male","keuntungannya bisa bertanam sayur dengan mudah dan udarannya sejuk, bebas dari polusi"
"Safe","Male","keuntungannya bisa bercocok tanam dengan mudah karena cuacanya yang bagus"
"Safe","Male","keuntungan bisa bercocok tanam, dan bisa beternak hewan"
"Safe","Male","tani"
"Safe","Male","tanah disekitar sangat subur, udara sejuk"
"Safe","Male","ekonomi mudah, tanahnya subur"
"Safe","Male","dingin"
"Safe","Male","suhu sejuk  tanah subur"
"Safe","Male","udara sejuk bebas polusi dan tanahnya subur"
"Safe","Male","tanah yang subur"
"Safe","Male","tanah subur"
"Safe","Male","tanahnya subur, udara sejuk, dan dekat sumber mata air"
"Safe","Male","suasananya dingin"
"Safe","Male","Sangat cocok untuk pertanian sehat untuk d tinggali"
"Safe","Female","udaranya sejuk   airnya bersih  tanahnya subur  suhunya tidak terlalu dingin"
"Safe","Female","tanah subur  udara sejuk  jarang ada bencana alam, safe aman"
"Safe","Male","adem ayem segar waras"
"Safe","Male","airnya bersih tanahnya subur"
"Safe","Female","udara sejuk ,jauh dari polusi pabrik , air bersih , tanah subur ,"
"Safe","Female","tanah subur, air bersih, udara segar / sejuk"
"Safe","Male","sejuk dingin"
"Safe","Male","tanah jd subur,udara sejuk,air jernih"
"Safe","Male","tanah subur  air baik  ekonomi cukup"
"Safe","Female","udara sejuk airnya jernih tanhnya subur."
"Safe","Female","udara sejuk,nyaman comfort,"
"Safe","Female","tanah nya subur udara nya segar"
"Safe","Female","menyenagkan udara yang sejuk serta alam yg hijau subur"
"Safe","Female","senang sejuk tanah subur"
"Safe","Male","letus ya tidak kesini, safe aman"
"Safe","Female","sejuk udara nya... sumber airnya alami..."
"Safe","Female","sejuk air bersih cari sayuran gampang, ekonomi"
"Safe","Female","memiliki banyak sda seperti pasir, batu ,sumber air jernih , dll"
"Safe","Female","air baik  sejuk"
"Safe","Male","kualitas airnya bagus dapat udara yang sejuk dan tanahnya bagus buat tanaman"
"Safe","Male","tanahya subur udaranya bersih jau dari kebisingan tranportasi muda  untuk bercocok tanam"
"Safe","Female","udaranya sejuk, udaranya sejuk,jauh dari polusi pàbrik"
"Safe","Male","Semua alami"
"Safe","Male","sumber daya air yang alami pegunungan yang asri jauh dari polusi udara banyak perkebunan yg indah bebas dari asap kendaraan"
"Safe","Male","udaranya masih sejuk, air mudah, bahan makanan mudah"
"Safe","Male","udara sejuk, pertanian subur, air bersih, bebas polusi"
"Safe","Male","sumber air melimpah...cocok untuk bercocok tanam...udara sejuk....cocok untuk berkembang biak"
"Safe","Male","tanah subur"
"Safe","Female","tanah subur , air bersih"
"Safe","Female","tanah subur suasana sejuk air bersih"
"Safe","Female","udaranya sejuk, mata air mudah , pertanian mudah cuma jauh dari emall"
"Safe","Female","tanahnya subur, air nya bersih"
"Safe","Female","udara sejuk, pertanian mudah, sumber banyak"
"Safe","Female","tanahnya subur, airnya bersih, udaranya sejuk"
"Safe","Male","tanah subur udara sejuk"
"Safe","Female","1. udaranya sejuk dan minim dari polusi-polusi kota  2. tanahnya subur  3. sda banyak  4. Tersedinya gampang kerja bagi petani dan pekebun"
"Safe","Female","tanahnya subur dapat membantu meningkatkan nilai ekonomi"
"Safe","Female","udaranya sejuk"
"Safe","Male","jauh dari polusi udara kotor,sejuk"
"Safe","Male","tanah subur"
"Safe","Male","tanahnya subur, airnya jernih, udara sejuk"
"Safe","Male","udara sejuk tampa polusi"
"Safe","Female","udara sejuk, tanah subur"
"Safe","Female","area sejuk"
"Safe","Female","cuaca yg stabil, segar.. tidak terlalu panas,juga tidak terlalu dingin, pertanian subur."
"Safe","Male","mencari nafkaH enak, ekonomi, udara segar,ya panas ya dingin,"
"Safe","Female","udara sangat sejuk tak ada polusi"
"Safe","Male","muda, ekonomi"
"Safe","Female","udaranya sangat dingin"
"Safe","Female","udara yang sejuk"
"Safe","Male","tanah pertanian subur"
"Safe","Male","udara sejuk"
"Safe","Male","udara sejuk, nyaman comfort"
"Safe","Female","cuacanya yang sejuk, tanahnya sangat subur untuk menanam sayur-sayuran, buah-buahan Dan lainnya"
"Safe","Male","tanah subur, baik untuk bercocok tanam.dan baik untuk ternak"
"Safe","Male","tanah subur,udara segar,ekonomi mudah"
"Safe","Male","tanah subur, udara sejuk"
"Safe","Male","tanah subur,udara segar,persediaan air tercukupi, dll.."
"Safe","Female","sangat baik untuk bercocok tanam  penghasilan yang cukup banyak, ekonomi"
"Safe","Female","air bersih  pasir"
"Safe","Male","tanah subur   sejuk  sumber air jernih"
"Safe","Female","keuntungannya adalah tanah di sekitar gunung berapi menjadi subur, sehingga memudahkan masyarakat sekitar untuk bercocok tanam seperti menanam padi atau lahan kopi. selain itu terdapat juga mata pencaharian lainnya seperti penambang pasir."
"Safe","Male","pasir melimpah,sejuk,udara bersih, tanah subur"
"Safe","Female","bisa menanam tumbuhan, ekonomi"
"Safe","Female","udara  sejuk"
"Safe","Female","tanahnya subur.  udaranya sejuk."
"Safe","Female","tanah subur"
"Safe","Female","karena nenek moyangnya lahir disini"
"Safe","Male","tanah  subur"
"Safe","Male","udara sejek  tanahnya subur"
"Safe","Male","udaranya segar .airnya sejuk jarang polusi"
"Safe","Female","udara sejuk"
"Safe","Female","udara nyasejuk"
"Safe","Male","tanahnya subur Dan udaranya sejuk bersih"
"Safe","Male","tanah yang subur"
"Safe","Female","tanah subur"
"Safe","Male","banyak hasil alam yang dapat digunakan sebagai mata pencaharian."
"Safe","Male","wisata yang bagus"
"Safe","Female","udaranya segar, tanah yang subur"
"Safe","Male","tanah subur tanaman bagus"
"Safe","Male","tanah subur"
"Safe","Male","sejuk dan tanah subur"
"Safe","Female","gampang untuk mencari pasir dan batu"
"Safe","Female","mendapatkan pasir dengan mudah"
"Safe","Female","sangat sejuk dan tentram nyaman comfort"
